"run_id","module","object_id","version","set_role","period","from","to","status","net_profit","profit_factor","max_equity_dd","max_equity_dd_pct","total_trades","win_rate","report","set_file","config","metrics"
"v866_C_monthly_core_201708_20260620_051710_case0136","monthly_core","C","v8.66","v8.66 aggressive case0005","201708","2017.08.01","2017.08.31","completed","478.08","0.00","377.28","1.82","1","100.00","E:\CODEXMACD\HCSJ\backtest_archive\v8.66\201708\v866_C_monthly_core_201708_20260620_051710_case0136\v866_C_monthly_core_201708_20260620_051710_case0136.htm","E:\CODEXMACD\HCSJ\set\v8.66\201708\v866_C_monthly_core_201708_20260620_051710_case0136.set","E:\CODEXMACD\HCSJ\backtest_archive\v8.66\201708\v866_C_monthly_core_201708_20260620_051710_case0136\v866_C_monthly_core_201708_20260620_051710_case0136.ini","E:\CODEXMACD\HCSJ\backtest_archive\v8.66\201708\v866_C_monthly_core_201708_20260620_051710_case0136\v866_C_monthly_core_201708_20260620_051710_case0136_metrics.csv"
"v866_B_monthly_core_201709_20260620_051710_case0137","monthly_core","B","v8.66","v8.66 robust case0010","201709","2017.09.01","2017.09.30","completed","2517.46","10.50","2267.03","9.72","4","75.00","E:\CODEXMACD\HCSJ\backtest_archive\v8.66\201709\v866_B_monthly_core_201709_20260620_051710_case0137\v866_B_monthly_core_201709_20260620_051710_case0137.htm","E:\CODEXMACD\HCSJ\set\v8.66\201709\v866_B_monthly_core_201709_20260620_051710_case0137.set","E:\CODEXMACD\HCSJ\backtest_archive\v8.66\201709\v866_B_monthly_core_201709_20260620_051710_case0137\v866_B_monthly_core_201709_20260620_051710_case0137.ini","E:\CODEXMACD\HCSJ\backtest_archive\v8.66\201709\v866_B_monthly_core_201709_20260620_051710_case0137\v866_B_monthly_core_201709_20260620_051710_case0137_metrics.csv"
"v866_C_monthly_core_201709_20260620_051710_case0138","monthly_core","C","v8.66","v8.66 aggressive case0005","201709","2017.09.01","2017.09.30","completed","2765.94","10.39","2497.79","10.55","4","75.00","E:\CODEXMACD\HCSJ\backtest_archive\v8.66\201709\v866_C_monthly_core_201709_20260620_051710_case0138\v866_C_monthly_core_201709_20260620_051710_case0138.htm","E:\CODEXMACD\HCSJ\set\v8.66\201709\v866_C_monthly_core_201709_20260620_051710_case0138.set","E:\CODEXMACD\HCSJ\backtest_archive\v8.66\201709\v866_C_monthly_core_201709_20260620_051710_case0138\v866_C_monthly_core_201709_20260620_051710_case0138.ini","E:\CODEXMACD\HCSJ\backtest_archive\v8.66\201709\v866_C_monthly_core_201709_20260620_051710_case0138\v866_C_monthly_core_201709_20260620_051710_case0138_metrics.csv"
"v866_B_monthly_core_201710_20260620_051710_case0139","monthly_core","B","v8.66","v8.66 robust case0010","201710","2017.10.01","2017.10.31","completed","878.28","1.88","2080.08","9.58","4","50.00","E:\CODEXMACD\HCSJ\backtest_archive\v8.66\201710\v866_B_monthly_core_201710_20260620_051710_case0139\v866_B_monthly_core_201710_20260620_051710_case0139.htm","E:\CODEXMACD\HCSJ\set\v8.66\201710\v866_B_monthly_core_201710_20260620_051710_case0139.set","E:\CODEXMACD\HCSJ\backtest_archive\v8.66\201710\v866_B_monthly_core_201710_20260620_051710_case0139\v866_B_monthly_core_201710_20260620_051710_case0139.ini","E:\CODEXMACD\HCSJ\backtest_archive\v8.66\201710\v866_B_monthly_core_201710_20260620_051710_case0139\v866_B_monthly_core_201710_20260620_051710_case0139_metrics.csv"
"v866_C_monthly_core_201710_20260620_051710_case0140","monthly_core","C","v8.66","v8.66 aggressive case0005","201710","2017.10.01","2017.10.31","completed","962.49","1.88","2283.72","10.44","4","50.00","E:\CODEXMACD\HCSJ\backtest_archive\v8.66\201710\v866_C_monthly_core_201710_20260620_051710_case0140\v866_C_monthly_core_201710_20260620_051710_case0140.htm","E:\CODEXMACD\HCSJ\set\v8.66\201710\v866_C_monthly_core_201710_20260620_051710_case0140.set","E:\CODEXMACD\HCSJ\backtest_archive\v8.66\201710\v866_C_monthly_core_201710_20260620_051710_case0140\v866_C_monthly_core_201710_20260620_051710_case0140.ini","E:\CODEXMACD\HCSJ\backtest_archive\v8.66\201710\v866_C_monthly_core_201710_20260620_051710_case0140\v866_C_monthly_core_201710_20260620_051710_case0140_metrics.csv"
"v866_B_monthly_core_201711_20260620_051710_case0141","monthly_core","B","v8.66","v8.66 robust case0010","201711","2017.11.01","2017.11.30","completed","-3965.06","0.00","4538.38","22.06","5","0.00","E:\CODEXMACD\HCSJ\backtest_archive\v8.66\201711\v866_B_monthly_core_201711_20260620_051710_case0141\v866_B_monthly_core_201711_20260620_051710_case0141.htm","E:\CODEXMACD\HCSJ\set\v8.66\201711\v866_B_monthly_core_201711_20260620_051710_case0141.set","E:\CODEXMACD\HCSJ\backtest_archive\v8.66\201711\v866_B_monthly_core_201711_20260620_051710_case0141\v866_B_monthly_core_201711_20260620_051710_case0141.ini","E:\CODEXMACD\HCSJ\backtest_archive\v8.66\201711\v866_B_monthly_core_201711_20260620_051710_case0141\v866_B_monthly_core_201711_20260620_051710_case0141_metrics.csv"
"v866_C_monthly_core_201711_20260620_051710_case0142","monthly_core","C","v8.66","v8.66 aggressive case0005","201711","2017.11.01","2017.11.30","completed","-4325.36","0.00","4929.38","23.92","5","0.00","E:\CODEXMACD\HCSJ\backtest_archive\v8.66\201711\v866_C_monthly_core_201711_20260620_051710_case0142\v866_C_monthly_core_201711_20260620_051710_case0142.htm","E:\CODEXMACD\HCSJ\set\v8.66\201711\v866_C_monthly_core_201711_20260620_051710_case0142.set","E:\CODEXMACD\HCSJ\backtest_archive\v8.66\201711\v866_C_monthly_core_201711_20260620_051710_case0142\v866_C_monthly_core_201711_20260620_051710_case0142.ini","E:\CODEXMACD\HCSJ\backtest_archive\v8.66\201711\v866_C_monthly_core_201711_20260620_051710_case0142\v866_C_monthly_core_201711_20260620_051710_case0142_metrics.csv"
"v866_B_monthly_core_201712_20260620_051710_case0143","monthly_core","B","v8.66","v8.66 robust case0010","201712","2017.12.01","2017.12.31","completed","7799.85","0.00","1854.38","7.98","2","100.00","E:\CODEXMACD\HCSJ\backtest_archive\v8.66\201712\v866_B_monthly_core_201712_20260620_051710_case0143\v866_B_monthly_core_201712_20260620_051710_case0143.htm","E:\CODEXMACD\HCSJ\set\v8.66\201712\v866_B_monthly_core_201712_20260620_051710_case0143.set","E:\CODEXMACD\HCSJ\backtest_archive\v8.66\201712\v866_B_monthly_core_201712_20260620_051710_case0143\v866_B_monthly_core_201712_20260620_051710_case0143.ini","E:\CODEXMACD\HCSJ\backtest_archive\v8.66\201712\v866_B_monthly_core_201712_20260620_051710_case0143\v866_B_monthly_core_201712_20260620_051710_case0143_metrics.csv"
"v866_C_monthly_core_201712_20260620_051710_case0144","monthly_core","C","v8.66","v8.66 aggressive case0005","201712","2017.12.01","2017.12.31","completed","8632.99","0.00","2042.77","8.67","2","100.00","E:\CODEXMACD\HCSJ\backtest_archive\v8.66\201712\v866_C_monthly_core_201712_20260620_051710_case0144\v866_C_monthly_core_201712_20260620_051710_case0144.htm","E:\CODEXMACD\HCSJ\set\v8.66\201712\v866_C_monthly_core_201712_20260620_051710_case0144.set","E:\CODEXMACD\HCSJ\backtest_archive\v8.66\201712\v866_C_monthly_core_201712_20260620_051710_case0144\v866_C_monthly_core_201712_20260620_051710_case0144.ini","E:\CODEXMACD\HCSJ\backtest_archive\v8.66\201712\v866_C_monthly_core_201712_20260620_051710_case0144\v866_C_monthly_core_201712_20260620_051710_case0144_metrics.csv"
"v866_B_monthly_core_201801_20260620_051710_case0145","monthly_core","B","v8.66","v8.66 robust case0010","201801","2018.01.01","2018.01.31","completed","0.00","0.00","0.00","0.00","0","0.00","E:\CODEXMACD\HCSJ\backtest_archive\v8.66\201801\v866_B_monthly_core_201801_20260620_051710_case0145\v866_B_monthly_core_201801_20260620_051710_case0145.htm","E:\CODEXMACD\HCSJ\set\v8.66\201801\v866_B_monthly_core_201801_20260620_051710_case0145.set","E:\CODEXMACD\HCSJ\backtest_archive\v8.66\201801\v866_B_monthly_core_201801_20260620_051710_case0145\v866_B_monthly_core_201801_20260620_051710_case0145.ini","E:\CODEXMACD\HCSJ\backtest_archive\v8.66\201801\v866_B_monthly_core_201801_20260620_051710_case0145\v866_B_monthly_core_201801_20260620_051710_case0145_metrics.csv"
"v866_C_monthly_core_201801_20260620_051710_case0146","monthly_core","C","v8.66","v8.66 aggressive case0005","201801","2018.01.01","2018.01.31","completed","0.00","0.00","0.00","0.00","0","0.00","E:\CODEXMACD\HCSJ\backtest_archive\v8.66\201801\v866_C_monthly_core_201801_20260620_051710_case0146\v866_C_monthly_core_201801_20260620_051710_case0146.htm","E:\CODEXMACD\HCSJ\set\v8.66\201801\v866_C_monthly_core_201801_20260620_051710_case0146.set","E:\CODEXMACD\HCSJ\backtest_archive\v8.66\201801\v866_C_monthly_core_201801_20260620_051710_case0146\v866_C_monthly_core_201801_20260620_051710_case0146.ini","E:\CODEXMACD\HCSJ\backtest_archive\v8.66\201801\v866_C_monthly_core_201801_20260620_051710_case0146\v866_C_monthly_core_201801_20260620_051710_case0146_metrics.csv"
"v866_B_monthly_core_201802_20260620_051710_case0147","monthly_core","B","v8.66","v8.66 robust case0010","201802","2018.02.01","2018.02.28","completed","0.00","0.00","0.00","0.00","0","0.00","E:\CODEXMACD\HCSJ\backtest_archive\v8.66\201802\v866_B_monthly_core_201802_20260620_051710_case0147\v866_B_monthly_core_201802_20260620_051710_case0147.htm","E:\CODEXMACD\HCSJ\set\v8.66\201802\v866_B_monthly_core_201802_20260620_051710_case0147.set","E:\CODEXMACD\HCSJ\backtest_archive\v8.66\201802\v866_B_monthly_core_201802_20260620_051710_case0147\v866_B_monthly_core_201802_20260620_051710_case0147.ini","E:\CODEXMACD\HCSJ\backtest_archive\v8.66\201802\v866_B_monthly_core_201802_20260620_051710_case0147\v866_B_monthly_core_201802_20260620_051710_case0147_metrics.csv"
"v866_C_monthly_core_201802_20260620_051710_case0148","monthly_core","C","v8.66","v8.66 aggressive case0005","201802","2018.02.01","2018.02.28","completed","0.00","0.00","0.00","0.00","0","0.00","E:\CODEXMACD\HCSJ\backtest_archive\v8.66\201802\v866_C_monthly_core_201802_20260620_051710_case0148\v866_C_monthly_core_201802_20260620_051710_case0148.htm","E:\CODEXMACD\HCSJ\set\v8.66\201802\v866_C_monthly_core_201802_20260620_051710_case0148.set","E:\CODEXMACD\HCSJ\backtest_archive\v8.66\201802\v866_C_monthly_core_201802_20260620_051710_case0148\v866_C_monthly_core_201802_20260620_051710_case0148.ini","E:\CODEXMACD\HCSJ\backtest_archive\v8.66\201802\v866_C_monthly_core_201802_20260620_051710_case0148\v866_C_monthly_core_201802_20260620_051710_case0148_metrics.csv"
"v866_B_monthly_core_201803_20260620_051710_case0149","monthly_core","B","v8.66","v8.66 robust case0010","201803","2018.03.01","2018.03.31","completed","-1048.57","0.00","3083.22","13.99","2","0.00","E:\CODEXMACD\HCSJ\backtest_archive\v8.66\201803\v866_B_monthly_core_201803_20260620_051710_case0149\v866_B_monthly_core_201803_20260620_051710_case0149.htm","E:\CODEXMACD\HCSJ\set\v8.66\201803\v866_B_monthly_core_201803_20260620_051710_case0149.set","E:\CODEXMACD\HCSJ\backtest_archive\v8.66\201803\v866_B_monthly_core_201803_20260620_051710_case0149\v866_B_monthly_core_201803_20260620_051710_case0149.ini","E:\CODEXMACD\HCSJ\backtest_archive\v8.66\201803\v866_B_monthly_core_201803_20260620_051710_case0149\v866_B_monthly_core_201803_20260620_051710_case0149_metrics.csv"
"v866_C_monthly_core_201803_20260620_051710_case0150","monthly_core","C","v8.66","v8.66 aggressive case0005","201803","2018.03.01","2018.03.31","completed","-1152.56","0.00","3389.18","15.24","2","0.00","E:\CODEXMACD\HCSJ\backtest_archive\v8.66\201803\v866_C_monthly_core_201803_20260620_051710_case0150\v866_C_monthly_core_201803_20260620_051710_case0150.htm","E:\CODEXMACD\HCSJ\set\v8.66\201803\v866_C_monthly_core_201803_20260620_051710_case0150.set","E:\CODEXMACD\HCSJ\backtest_archive\v8.66\201803\v866_C_monthly_core_201803_20260620_051710_case0150\v866_C_monthly_core_201803_20260620_051710_case0150.ini","E:\CODEXMACD\HCSJ\backtest_archive\v8.66\201803\v866_C_monthly_core_201803_20260620_051710_case0150\v866_C_monthly_core_201803_20260620_051710_case0150_metrics.csv"
