"run_id","module","object_id","version","set_role","period","from","to","status","net_profit","profit_factor","max_equity_dd","max_equity_dd_pct","total_trades","win_rate","report","set_file"
"v86_A_monthly_full_201807_20260620_033821_case0157","monthly_full","A","v8.6","v8.6 robust case0502","201807","2018.07.01","2018.07.31","completed","4026.11","4.03","4216.69","15.04","4","50.00","E:\CODEXMACD\HCSJ\backtest_archive\v8.6\201807\v86_A_monthly_full_201807_20260620_033821_case0157\v86_A_monthly_full_201807_20260620_033821_case0157.htm","E:\CODEXMACD\HCSJ\set\v8.6\201807\v86_A_monthly_full_201807_20260620_033821_case0157.set"
"v866_D_monthly_full_201807_20260620_033821_case0158","monthly_full","D","v8.66","v8.66 conservative case0401","201807","2018.07.01","2018.07.31","completed","3263.83","5.41","3228.33","12.30","4","50.00","E:\CODEXMACD\HCSJ\backtest_archive\v8.66\201807\v866_D_monthly_full_201807_20260620_033821_case0158\v866_D_monthly_full_201807_20260620_033821_case0158.htm","E:\CODEXMACD\HCSJ\set\v8.66\201807\v866_D_monthly_full_201807_20260620_033821_case0158.set"
"v86_A_monthly_full_201808_20260620_033821_case0159","monthly_full","A","v8.6","v8.6 robust case0502","201808","2018.08.01","2018.08.31","completed","7017.88","0.00","4140.58","13.99","2","100.00","E:\CODEXMACD\HCSJ\backtest_archive\v8.6\201808\v86_A_monthly_full_201808_20260620_033821_case0159\v86_A_monthly_full_201808_20260620_033821_case0159.htm","E:\CODEXMACD\HCSJ\set\v8.6\201808\v86_A_monthly_full_201808_20260620_033821_case0159.set"
"v866_D_monthly_full_201808_20260620_033821_case0160","monthly_full","D","v8.66","v8.66 conservative case0401","201808","2018.08.01","2018.08.31","completed","5286.90","0.00","3269.81","11.92","2","100.00","E:\CODEXMACD\HCSJ\backtest_archive\v8.66\201808\v866_D_monthly_full_201808_20260620_033821_case0160\v866_D_monthly_full_201808_20260620_033821_case0160.htm","E:\CODEXMACD\HCSJ\set\v8.66\201808\v866_D_monthly_full_201808_20260620_033821_case0160.set"
"v86_A_monthly_full_201809_20260620_033821_case0161","monthly_full","A","v8.6","v8.6 robust case0502","201809","2018.09.01","2018.09.30","completed","-1816.35","0.08","2627.47","12.63","3","33.33","E:\CODEXMACD\HCSJ\backtest_archive\v8.6\201809\v86_A_monthly_full_201809_20260620_033821_case0161\v86_A_monthly_full_201809_20260620_033821_case0161.htm","E:\CODEXMACD\HCSJ\set\v8.6\201809\v86_A_monthly_full_201809_20260620_033821_case0161.set"
"v866_D_monthly_full_201809_20260620_033821_case0162","monthly_full","D","v8.66","v8.66 conservative case0401","201809","2018.09.01","2018.09.30","completed","-121.86","0.86","2293.98","10.53","3","66.67","E:\CODEXMACD\HCSJ\backtest_archive\v8.66\201809\v866_D_monthly_full_201809_20260620_033821_case0162\v866_D_monthly_full_201809_20260620_033821_case0162.htm","E:\CODEXMACD\HCSJ\set\v8.66\201809\v866_D_monthly_full_201809_20260620_033821_case0162.set"
"v86_A_monthly_full_201810_20260620_033821_case0163","monthly_full","A","v8.6","v8.6 robust case0502","201810","2018.10.01","2018.10.31","completed","-1979.35","0.00","4276.56","19.18","2","0.00","E:\CODEXMACD\HCSJ\backtest_archive\v8.6\201810\v86_A_monthly_full_201810_20260620_033821_case0163\v86_A_monthly_full_201810_20260620_033821_case0163.htm","E:\CODEXMACD\HCSJ\set\v8.6\201810\v86_A_monthly_full_201810_20260620_033821_case0163.set"
"v866_D_monthly_full_201810_20260620_033821_case0164","monthly_full","D","v8.66","v8.66 conservative case0401","201810","2018.10.01","2018.10.31","completed","-1704.44","0.00","3477.73","15.97","2","0.00","E:\CODEXMACD\HCSJ\backtest_archive\v8.66\201810\v866_D_monthly_full_201810_20260620_033821_case0164\v866_D_monthly_full_201810_20260620_033821_case0164.htm","E:\CODEXMACD\HCSJ\set\v8.66\201810\v866_D_monthly_full_201810_20260620_033821_case0164.set"
"v86_A_monthly_full_201811_20260620_033821_case0165","monthly_full","A","v8.6","v8.6 robust case0502","201811","2018.11.01","2018.11.30","completed","-1158.90","0.00","3242.24","14.68","1","0.00","E:\CODEXMACD\HCSJ\backtest_archive\v8.6\201811\v86_A_monthly_full_201811_20260620_033821_case0165\v86_A_monthly_full_201811_20260620_033821_case0165.htm","E:\CODEXMACD\HCSJ\set\v8.6\201811\v86_A_monthly_full_201811_20260620_033821_case0165.set"
"v866_D_monthly_full_201811_20260620_033821_case0166","monthly_full","D","v8.66","v8.66 conservative case0401","201811","2018.11.01","2018.11.30","completed","-984.75","0.00","2602.25","12.04","1","0.00","E:\CODEXMACD\HCSJ\backtest_archive\v8.66\201811\v866_D_monthly_full_201811_20260620_033821_case0166\v866_D_monthly_full_201811_20260620_033821_case0166.htm","E:\CODEXMACD\HCSJ\set\v8.66\201811\v866_D_monthly_full_201811_20260620_033821_case0166.set"
