"run_id","object","window","slippage_pips","status","report","set","config","metrics_csv","notes","net_profit","profit_factor","total_trades","max_equity_dd_pct","max_consecutive_losing_count","buy_trades","sell_trades"
"v867_slippage_harness_20260620_155009_objB__lvl0_case0001","B","2012-2019","0","completed","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2012-2019\v867_slippage_harness_20260620_155009_objB__lvl0_case0001\v867_slippage_harness_20260620_155009_objB__lvl0_case0001.htm","E:\CODEXMACD\HCSJ\set\v8.67\2012-2019\v867_slippage_harness_20260620_155009_objB__lvl0_case0001.set","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2012-2019\v867_slippage_harness_20260620_155009_objB__lvl0_case0001\v867_slippage_harness_20260620_155009_objB__lvl0_case0001.ini","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2012-2019\v867_slippage_harness_20260620_155009_objB__lvl0_case0001\v867_slippage_harness_20260620_155009_objB__lvl0_case0001_metrics.csv","temp slippage harness level=0 for object=B window=","55826.12","1.17","250","39.72","7","125","125"
"v867_slippage_harness_20260620_155009_objB__lvl1_case0002","B","2012-2019","1","completed","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2012-2019\v867_slippage_harness_20260620_155009_objB__lvl1_case0002\v867_slippage_harness_20260620_155009_objB__lvl1_case0002.htm","E:\CODEXMACD\HCSJ\set\v8.67\2012-2019\v867_slippage_harness_20260620_155009_objB__lvl1_case0002.set","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2012-2019\v867_slippage_harness_20260620_155009_objB__lvl1_case0002\v867_slippage_harness_20260620_155009_objB__lvl1_case0002.ini","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2012-2019\v867_slippage_harness_20260620_155009_objB__lvl1_case0002\v867_slippage_harness_20260620_155009_objB__lvl1_case0002_metrics.csv","temp slippage harness level=1 for object=B window=","55826.12","1.17","250","39.72","7","125","125"
"v867_slippage_harness_20260620_155009_objB__lvl2_case0003","B","2012-2019","2","completed","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2012-2019\v867_slippage_harness_20260620_155009_objB__lvl2_case0003\v867_slippage_harness_20260620_155009_objB__lvl2_case0003.htm","E:\CODEXMACD\HCSJ\set\v8.67\2012-2019\v867_slippage_harness_20260620_155009_objB__lvl2_case0003.set","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2012-2019\v867_slippage_harness_20260620_155009_objB__lvl2_case0003\v867_slippage_harness_20260620_155009_objB__lvl2_case0003.ini","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2012-2019\v867_slippage_harness_20260620_155009_objB__lvl2_case0003\v867_slippage_harness_20260620_155009_objB__lvl2_case0003_metrics.csv","temp slippage harness level=2 for object=B window=","55826.12","1.17","250","39.72","7","125","125"
"v867_slippage_harness_20260620_155009_objB__lvl0_case0004","B","2020-2026","0","completed","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2020-2026\v867_slippage_harness_20260620_155009_objB__lvl0_case0004\v867_slippage_harness_20260620_155009_objB__lvl0_case0004.htm","E:\CODEXMACD\HCSJ\set\v8.67\2020-2026\v867_slippage_harness_20260620_155009_objB__lvl0_case0004.set","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2020-2026\v867_slippage_harness_20260620_155009_objB__lvl0_case0004\v867_slippage_harness_20260620_155009_objB__lvl0_case0004.ini","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2020-2026\v867_slippage_harness_20260620_155009_objB__lvl0_case0004\v867_slippage_harness_20260620_155009_objB__lvl0_case0004_metrics.csv","temp slippage harness level=0 for object=B window=","556052.56","2.27","203","24.11","5","120","83"
"v867_slippage_harness_20260620_155009_objB__lvl1_case0005","B","2020-2026","1","completed","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2020-2026\v867_slippage_harness_20260620_155009_objB__lvl1_case0005\v867_slippage_harness_20260620_155009_objB__lvl1_case0005.htm","E:\CODEXMACD\HCSJ\set\v8.67\2020-2026\v867_slippage_harness_20260620_155009_objB__lvl1_case0005.set","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2020-2026\v867_slippage_harness_20260620_155009_objB__lvl1_case0005\v867_slippage_harness_20260620_155009_objB__lvl1_case0005.ini","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2020-2026\v867_slippage_harness_20260620_155009_objB__lvl1_case0005\v867_slippage_harness_20260620_155009_objB__lvl1_case0005_metrics.csv","temp slippage harness level=1 for object=B window=","556052.56","2.27","203","24.11","5","120","83"
"v867_slippage_harness_20260620_155009_objB__lvl2_case0006","B","2020-2026","2","completed","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2020-2026\v867_slippage_harness_20260620_155009_objB__lvl2_case0006\v867_slippage_harness_20260620_155009_objB__lvl2_case0006.htm","E:\CODEXMACD\HCSJ\set\v8.67\2020-2026\v867_slippage_harness_20260620_155009_objB__lvl2_case0006.set","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2020-2026\v867_slippage_harness_20260620_155009_objB__lvl2_case0006\v867_slippage_harness_20260620_155009_objB__lvl2_case0006.ini","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2020-2026\v867_slippage_harness_20260620_155009_objB__lvl2_case0006\v867_slippage_harness_20260620_155009_objB__lvl2_case0006_metrics.csv","temp slippage harness level=2 for object=B window=","556052.56","2.27","203","24.11","5","120","83"
"v867_slippage_harness_20260620_155009_objC__lvl0_case0007","C","2012-2019","0","completed","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2012-2019\v867_slippage_harness_20260620_155009_objC__lvl0_case0007\v867_slippage_harness_20260620_155009_objC__lvl0_case0007.htm","E:\CODEXMACD\HCSJ\set\v8.67\2012-2019\v867_slippage_harness_20260620_155009_objC__lvl0_case0007.set","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2012-2019\v867_slippage_harness_20260620_155009_objC__lvl0_case0007\v867_slippage_harness_20260620_155009_objC__lvl0_case0007.ini","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2012-2019\v867_slippage_harness_20260620_155009_objC__lvl0_case0007\v867_slippage_harness_20260620_155009_objC__lvl0_case0007_metrics.csv","temp slippage harness level=0 for object=C window=","57221.99","1.15","250","42.60","7","125","125"
"v867_slippage_harness_20260620_155009_objC__lvl1_case0008","C","2012-2019","1","completed","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2012-2019\v867_slippage_harness_20260620_155009_objC__lvl1_case0008\v867_slippage_harness_20260620_155009_objC__lvl1_case0008.htm","E:\CODEXMACD\HCSJ\set\v8.67\2012-2019\v867_slippage_harness_20260620_155009_objC__lvl1_case0008.set","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2012-2019\v867_slippage_harness_20260620_155009_objC__lvl1_case0008\v867_slippage_harness_20260620_155009_objC__lvl1_case0008.ini","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2012-2019\v867_slippage_harness_20260620_155009_objC__lvl1_case0008\v867_slippage_harness_20260620_155009_objC__lvl1_case0008_metrics.csv","temp slippage harness level=1 for object=C window=","57221.99","1.15","250","42.60","7","125","125"
"v867_slippage_harness_20260620_155009_objC__lvl2_case0009","C","2012-2019","2","completed","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2012-2019\v867_slippage_harness_20260620_155009_objC__lvl2_case0009\v867_slippage_harness_20260620_155009_objC__lvl2_case0009.htm","E:\CODEXMACD\HCSJ\set\v8.67\2012-2019\v867_slippage_harness_20260620_155009_objC__lvl2_case0009.set","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2012-2019\v867_slippage_harness_20260620_155009_objC__lvl2_case0009\v867_slippage_harness_20260620_155009_objC__lvl2_case0009.ini","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2012-2019\v867_slippage_harness_20260620_155009_objC__lvl2_case0009\v867_slippage_harness_20260620_155009_objC__lvl2_case0009_metrics.csv","temp slippage harness level=2 for object=C window=","57221.99","1.15","250","42.60","7","125","125"
"v867_slippage_harness_20260620_155009_objC__lvl0_case0010","C","2020-2026","0","completed","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2020-2026\v867_slippage_harness_20260620_155009_objC__lvl0_case0010\v867_slippage_harness_20260620_155009_objC__lvl0_case0010.htm","E:\CODEXMACD\HCSJ\set\v8.67\2020-2026\v867_slippage_harness_20260620_155009_objC__lvl0_case0010.set","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2020-2026\v867_slippage_harness_20260620_155009_objC__lvl0_case0010\v867_slippage_harness_20260620_155009_objC__lvl0_case0010.ini","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2020-2026\v867_slippage_harness_20260620_155009_objC__lvl0_case0010\v867_slippage_harness_20260620_155009_objC__lvl0_case0010_metrics.csv","temp slippage harness level=0 for object=C window=","716968.27","2.29","203","25.69","4","120","83"
"v867_slippage_harness_20260620_155009_objC__lvl1_case0011","C","2020-2026","1","completed","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2020-2026\v867_slippage_harness_20260620_155009_objC__lvl1_case0011\v867_slippage_harness_20260620_155009_objC__lvl1_case0011.htm","E:\CODEXMACD\HCSJ\set\v8.67\2020-2026\v867_slippage_harness_20260620_155009_objC__lvl1_case0011.set","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2020-2026\v867_slippage_harness_20260620_155009_objC__lvl1_case0011\v867_slippage_harness_20260620_155009_objC__lvl1_case0011.ini","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2020-2026\v867_slippage_harness_20260620_155009_objC__lvl1_case0011\v867_slippage_harness_20260620_155009_objC__lvl1_case0011_metrics.csv","temp slippage harness level=1 for object=C window=","716968.27","2.29","203","25.69","4","120","83"
"v867_slippage_harness_20260620_155009_objC__lvl2_case0012","C","2020-2026","2","completed","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2020-2026\v867_slippage_harness_20260620_155009_objC__lvl2_case0012\v867_slippage_harness_20260620_155009_objC__lvl2_case0012.htm","E:\CODEXMACD\HCSJ\set\v8.67\2020-2026\v867_slippage_harness_20260620_155009_objC__lvl2_case0012.set","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2020-2026\v867_slippage_harness_20260620_155009_objC__lvl2_case0012\v867_slippage_harness_20260620_155009_objC__lvl2_case0012.ini","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2020-2026\v867_slippage_harness_20260620_155009_objC__lvl2_case0012\v867_slippage_harness_20260620_155009_objC__lvl2_case0012_metrics.csv","temp slippage harness level=2 for object=C window=","716968.27","2.29","203","25.69","4","120","83"
