"run_id","stage","status","net_profit","pf","trades","spread_feasibility","notes"
"v866_B_spread_feasibility_2020-2026_20260620_012138_case0001","default_spread","completed","556052.56","2.27","203","baseline","default/current spread"
"v866_B_spread_feasibility_2020-2026_20260620_012138_case0002","metadata_wide_spread","completed","556052.56","2.27","203","inconclusive","not valid as true spread stress evidence"
