run_id,module,object_id,version,set_role,window,stage,case_id,status,source_file,ex5_file,set_file,config_file,report_file,start_date,end_date,symbol,timeframe,model,spread_mode,spread_level,slippage_level,deposit,leverage,net_profit,profit_retention_pct,profit_factor,max_balance_dd,max_balance_dd_pct,max_equity_dd,max_equity_dd_pct,relative_equity_dd,relative_equity_dd_pct,total_trades,trade_count_retention_pct,win_rate,avg_profit_per_trade,worst_period_flag,sensitivity_rating,decision,notes
v86_A_date_shift_2020-2026_20260620_012138_case1001,date_shift,A,v8.6,"v8.6 robust case0502",2020-2026,"start_plus_1m",1001,completed,"E:\GROKMACD\SniperTrendEA_v8.6.mq5","D:\MT5测试\MetaTrader 5\MQL5\Experts\SniperTrendEA_v8.6_groktrue_20260619.ex5",E:\CODEXMACD\HCSJ\set\v8.6\2020-2026\v86_A_date_shift_2020-2026_20260620_012138_case1001.set,"E:\CODEXMACD\HCSJ\backtest_archive\v8.6\2020-2026\v86_A_date_shift_2020-2026_20260620_012138_case1001\v86_A_date_shift_2020-2026_20260620_012138_case1001.ini","E:\CODEXMACD\HCSJ\backtest_archive\v8.6\2020-2026\v86_A_date_shift_2020-2026_20260620_012138_case1001\v86_A_date_shift_2020-2026_20260620_012138_case1001.htm",2020.02.01,2026.06.30,XAUUSD,H4,1,"current","current",0,20000,100,381036.12,,2.06,46734.20,32.36,101841.70,24.39,37374.33,51.65,213,,44.60,1788.9,,,date-shift,"date shift start_plus_1m"
v86_A_date_shift_2020-2026_20260620_012138_case1002,date_shift,A,v8.6,"v8.6 robust case0502",2020-2026,"start_plus_3m",1002,completed,"E:\GROKMACD\SniperTrendEA_v8.6.mq5","D:\MT5测试\MetaTrader 5\MQL5\Experts\SniperTrendEA_v8.6_groktrue_20260619.ex5",E:\CODEXMACD\HCSJ\set\v8.6\2020-2026\v86_A_date_shift_2020-2026_20260620_012138_case1002.set,"E:\CODEXMACD\HCSJ\backtest_archive\v8.6\2020-2026\v86_A_date_shift_2020-2026_20260620_012138_case1002\v86_A_date_shift_2020-2026_20260620_012138_case1002.ini","E:\CODEXMACD\HCSJ\backtest_archive\v8.6\2020-2026\v86_A_date_shift_2020-2026_20260620_012138_case1002\v86_A_date_shift_2020-2026_20260620_012138_case1002.htm",2020.04.01,2026.06.30,XAUUSD,H4,1,"current","current",0,20000,100,213334.68,,2.02,27259.22,32.36,59097.65,24.33,21696.00,51.49,210,,43.81,1015.88,,,date-shift,"date shift start_plus_3m"
v86_A_date_shift_2020-2026_20260620_012138_case1003,date_shift,A,v8.6,"v8.6 robust case0502",2020-2026,"end_minus_1m",1003,completed,"E:\GROKMACD\SniperTrendEA_v8.6.mq5","D:\MT5测试\MetaTrader 5\MQL5\Experts\SniperTrendEA_v8.6_groktrue_20260619.ex5",E:\CODEXMACD\HCSJ\set\v8.6\2020-2026\v86_A_date_shift_2020-2026_20260620_012138_case1003.set,"E:\CODEXMACD\HCSJ\backtest_archive\v8.6\2020-2026\v86_A_date_shift_2020-2026_20260620_012138_case1003\v86_A_date_shift_2020-2026_20260620_012138_case1003.ini","E:\CODEXMACD\HCSJ\backtest_archive\v8.6\2020-2026\v86_A_date_shift_2020-2026_20260620_012138_case1003\v86_A_date_shift_2020-2026_20260620_012138_case1003.htm",2020.01.01,2026.05.30,XAUUSD,H4,1,"current","current",0,20000,100,394279.95,,1.86,59561.76,32.41,129165.44,24.36,47692.84,51.62,213,,44.60,1851.08,,,date-shift,"date shift end_minus_1m"
v86_A_date_shift_2020-2026_20260620_012138_case1004,date_shift,A,v8.6,"v8.6 robust case0502",2020-2026,"end_minus_3m",1004,completed,"E:\GROKMACD\SniperTrendEA_v8.6.mq5","D:\MT5测试\MetaTrader 5\MQL5\Experts\SniperTrendEA_v8.6_groktrue_20260619.ex5",E:\CODEXMACD\HCSJ\set\v8.6\2020-2026\v86_A_date_shift_2020-2026_20260620_012138_case1004.set,"E:\CODEXMACD\HCSJ\backtest_archive\v8.6\2020-2026\v86_A_date_shift_2020-2026_20260620_012138_case1004\v86_A_date_shift_2020-2026_20260620_012138_case1004.ini","E:\CODEXMACD\HCSJ\backtest_archive\v8.6\2020-2026\v86_A_date_shift_2020-2026_20260620_012138_case1004\v86_A_date_shift_2020-2026_20260620_012138_case1004.htm",2020.01.01,2026.03.30,XAUUSD,H4,1,"current","current",0,20000,100,381349.30,,1.88,59561.76,32.41,128969.05,24.32,47692.84,51.62,210,,44.76,1815.95,,,date-shift,"date shift end_minus_3m"
v86_A_date_shift_2020-2026_20260620_012138_case1005,date_shift,A,v8.6,"v8.6 robust case0502",2020-2026,"start_plus_1m_end_minus_1m",1005,completed,"E:\GROKMACD\SniperTrendEA_v8.6.mq5","D:\MT5测试\MetaTrader 5\MQL5\Experts\SniperTrendEA_v8.6_groktrue_20260619.ex5",E:\CODEXMACD\HCSJ\set\v8.6\2020-2026\v86_A_date_shift_2020-2026_20260620_012138_case1005.set,"E:\CODEXMACD\HCSJ\backtest_archive\v8.6\2020-2026\v86_A_date_shift_2020-2026_20260620_012138_case1005\v86_A_date_shift_2020-2026_20260620_012138_case1005.ini","E:\CODEXMACD\HCSJ\backtest_archive\v8.6\2020-2026\v86_A_date_shift_2020-2026_20260620_012138_case1005\v86_A_date_shift_2020-2026_20260620_012138_case1005.htm",2020.02.01,2026.05.30,XAUUSD,H4,1,"current","current",0,20000,100,306055.54,,1.86,46734.20,32.36,101841.70,24.39,37374.33,51.65,211,,44.08,1450.5,,,date-shift,"date shift start_plus_1m_end_minus_1m"
v86_A_date_shift_2020-2026_20260620_012138_case1006,date_shift,A,v8.6,"v8.6 robust case0502",2020-2026,"start_plus_3m_end_minus_3m",1006,completed,"E:\GROKMACD\SniperTrendEA_v8.6.mq5","D:\MT5测试\MetaTrader 5\MQL5\Experts\SniperTrendEA_v8.6_groktrue_20260619.ex5",E:\CODEXMACD\HCSJ\set\v8.6\2020-2026\v86_A_date_shift_2020-2026_20260620_012138_case1006.set,"E:\CODEXMACD\HCSJ\backtest_archive\v8.6\2020-2026\v86_A_date_shift_2020-2026_20260620_012138_case1006\v86_A_date_shift_2020-2026_20260620_012138_case1006.ini","E:\CODEXMACD\HCSJ\backtest_archive\v8.6\2020-2026\v86_A_date_shift_2020-2026_20260620_012138_case1006\v86_A_date_shift_2020-2026_20260620_012138_case1006.htm",2020.04.01,2026.03.30,XAUUSD,H4,1,"current","current",0,20000,100,163930.31,,1.83,27259.22,32.36,59007.86,24.29,21696.00,51.49,205,,43.41,799.66,,,date-shift,"date shift start_plus_3m_end_minus_3m"
v86_A_date_shift_2020-2026_20260620_012138_case1007,date_shift,A,v8.6,"v8.6 robust case0502",2020-2026,"start_plus_6m_end_minus_6m",1007,completed,"E:\GROKMACD\SniperTrendEA_v8.6.mq5","D:\MT5测试\MetaTrader 5\MQL5\Experts\SniperTrendEA_v8.6_groktrue_20260619.ex5",E:\CODEXMACD\HCSJ\set\v8.6\2020-2026\v86_A_date_shift_2020-2026_20260620_012138_case1007.set,"E:\CODEXMACD\HCSJ\backtest_archive\v8.6\2020-2026\v86_A_date_shift_2020-2026_20260620_012138_case1007\v86_A_date_shift_2020-2026_20260620_012138_case1007.ini","E:\CODEXMACD\HCSJ\backtest_archive\v8.6\2020-2026\v86_A_date_shift_2020-2026_20260620_012138_case1007\v86_A_date_shift_2020-2026_20260620_012138_case1007.htm",2020.07.01,2025.12.30,XAUUSD,H4,1,"current","current",0,20000,100,95881.23,,1.70,22144.91,32.24,30325.18,40.14,17768.61,51.48,187,,42.25,512.73,,,date-shift,"date shift start_plus_6m_end_minus_6m"
v866_B_date_shift_2012-2019_20260620_012138_case2000,date_shift,B,v8.66,"v8.66 robust case0010",2012-2019,"original",2000,completed,"E:\CODEXMACD\SniperTrendEA_v8.66_grokbase_structure_risk_r68_dualperiod_candidate.mq5","D:\MT5测试\MetaTrader 5\MQL5\Experts\SniperTrendEA_v8.66_r68_dualperiod_candidate_20260619.ex5",E:\CODEXMACD\HCSJ\set\v8.66\2012-2019\v866_B_date_shift_2012-2019_20260620_012138_case2000.set,"E:\CODEXMACD\HCSJ\backtest_archive\v8.66\2012-2019\v866_B_date_shift_2012-2019_20260620_012138_case2000\v866_B_date_shift_2012-2019_20260620_012138_case2000.ini","E:\CODEXMACD\HCSJ\backtest_archive\v8.66\2012-2019\v866_B_date_shift_2012-2019_20260620_012138_case2000\v866_B_date_shift_2012-2019_20260620_012138_case2000.htm",2012.01.01,2019.12.31,XAUUSD,H4,1,"current","current",0,20000,100,55826.12,,1.17,37883.34,57.35,47151.96,39.72,44141.43,61.25,250,,36.80,223.3,,,date-shift,"date shift original"
v866_B_date_shift_2012-2019_20260620_012138_case2001,date_shift,B,v8.66,"v8.66 robust case0010",2012-2019,"start_plus_1m",2001,completed,"E:\CODEXMACD\SniperTrendEA_v8.66_grokbase_structure_risk_r68_dualperiod_candidate.mq5","D:\MT5测试\MetaTrader 5\MQL5\Experts\SniperTrendEA_v8.66_r68_dualperiod_candidate_20260619.ex5",E:\CODEXMACD\HCSJ\set\v8.66\2012-2019\v866_B_date_shift_2012-2019_20260620_012138_case2001.set,"E:\CODEXMACD\HCSJ\backtest_archive\v8.66\2012-2019\v866_B_date_shift_2012-2019_20260620_012138_case2001\v866_B_date_shift_2012-2019_20260620_012138_case2001.ini","E:\CODEXMACD\HCSJ\backtest_archive\v8.66\2012-2019\v866_B_date_shift_2012-2019_20260620_012138_case2001\v866_B_date_shift_2012-2019_20260620_012138_case2001.htm",2012.02.01,2019.12.31,XAUUSD,H4,1,"current","current",0,20000,100,63836.39,,1.18,42026.31,57.35,52180.62,39.73,48993.44,61.29,246,,36.99,259.5,,,date-shift,"date shift start_plus_1m"
v866_B_date_shift_2012-2019_20260620_012138_case2002,date_shift,B,v8.66,"v8.66 robust case0010",2012-2019,"start_plus_3m",2002,completed,"E:\CODEXMACD\SniperTrendEA_v8.66_grokbase_structure_risk_r68_dualperiod_candidate.mq5","D:\MT5测试\MetaTrader 5\MQL5\Experts\SniperTrendEA_v8.66_r68_dualperiod_candidate_20260619.ex5",E:\CODEXMACD\HCSJ\set\v8.66\2012-2019\v866_B_date_shift_2012-2019_20260620_012138_case2002.set,"E:\CODEXMACD\HCSJ\backtest_archive\v8.66\2012-2019\v866_B_date_shift_2012-2019_20260620_012138_case2002\v866_B_date_shift_2012-2019_20260620_012138_case2002.ini","E:\CODEXMACD\HCSJ\backtest_archive\v8.66\2012-2019\v866_B_date_shift_2012-2019_20260620_012138_case2002\v866_B_date_shift_2012-2019_20260620_012138_case2002.htm",2012.04.01,2019.12.31,XAUUSD,H4,1,"current","current",0,20000,100,60389.39,,1.17,40258.73,57.32,49994.69,39.72,46912.62,61.23,240,,36.67,251.62,,,date-shift,"date shift start_plus_3m"
