"phase","candidate_case","version","set_role","run_id","window","net_profit","profit_factor","max_equity_dd_pct","total_trades","score","decision","notes"
"train","1","v8.6","v86 original","v86_WF86_walkforward_forward_2012-2019_20260620_012138_case0001","2012-2019","55573.93","1.17","39.75","250","9.707393","candidate","Task 4 forward walk-forward"
"train","2","v8.6","v86 risk040","v86_WF86_walkforward_forward_2012-2019_20260620_012138_case0002","2012-2019","48747.43","1.20","33.39","250","12.018743","candidate","Task 4 forward walk-forward"
"train","3","v8.6","v86 risk050","v86_WF86_walkforward_forward_2012-2019_20260620_012138_case0003","2012-2019","55573.93","1.17","39.75","250","9.707393","candidate","Task 4 forward walk-forward"
"train","4","v8.6","v86 risk060","v86_WF86_walkforward_forward_2012-2019_20260620_012138_case0004","2012-2019","57730.67","1.14","45.49","250","7.177067","candidate","Task 4 forward walk-forward"
"train","5","v8.6","v86 atr130","v86_WF86_walkforward_forward_2012-2019_20260620_012138_case0005","2012-2019","158624.46","1.20","44.36","259","18.708446","candidate","Task 4 forward walk-forward"
"train","6","v8.6","v86 atr135","v86_WF86_walkforward_forward_2012-2019_20260620_012138_case0006","2012-2019","133752.99","1.22","39.85","255","18.285299","candidate","Task 4 forward walk-forward"
"train","7","v8.6","v86 atr125","v86_WF86_walkforward_forward_2012-2019_20260620_012138_case0007","2012-2019","102935.74","1.13","58.93","266","6.331574","candidate","Task 4 forward walk-forward"
"train","8","v8.6","v86 atr145","v86_WF86_walkforward_forward_2012-2019_20260620_012138_case0008","2012-2019","55636.23","1.16","61.26","253","0.989622999999997","candidate","Task 4 forward walk-forward"
"train","9","v8.6","v86 original exit","v86_WF86_walkforward_forward_2012-2019_20260620_012138_case0009","2012-2019","55573.93","1.17","39.75","250","9.707393","candidate","Task 4 forward walk-forward"
"train","10","v8.6","v86 risk045 atr135","v86_WF86_walkforward_forward_2012-2019_20260620_012138_case0010","2012-2019","120918.20","1.24","36.77","255","18.53382","candidate","Task 4 forward walk-forward"
"train","11","v8.6","v86 risk055 atr135","v86_WF86_walkforward_forward_2012-2019_20260620_012138_case0011","2012-2019","145517.32","1.20","42.79","255","17.985732","candidate","Task 4 forward walk-forward"
"train","12","v8.6","v86 atr170","v86_WF86_walkforward_forward_2012-2019_20260620_012138_case0012","2012-2019","31626.70","1.17","63.20","240","-2.16733000000001","candidate","Task 4 forward walk-forward"
"train","101","v8.66","v866 base","v866_WF866_walkforward_forward_2012-2019_20260620_012138_case0101","2012-2019","55431.88","1.17","39.65","250","9.733188","candidate","Task 4 forward walk-forward"
"train","102","v8.66","v866 lot098","v866_WF866_walkforward_forward_2012-2019_20260620_012138_case0102","2012-2019","54121.88","1.17","39.47","250","9.674188","candidate","Task 4 forward walk-forward"
"train","103","v8.66","v866 lot100","v866_WF866_walkforward_forward_2012-2019_20260620_012138_case0103","2012-2019","55870.07","1.17","39.74","250","9.741007","candidate","Task 4 forward walk-forward"
"train","104","v8.66","v866 risk043","v866_WF866_walkforward_forward_2012-2019_20260620_012138_case0104","2012-2019","51100.55","1.19","35.30","250","11.340055","candidate","Task 4 forward walk-forward"
"train","105","v8.66","v866 risk045","v866_WF866_walkforward_forward_2012-2019_20260620_012138_case0105","2012-2019","52412.99","1.18","36.59","250","10.805299","candidate","Task 4 forward walk-forward"
"train","106","v8.66","v866 risk050","v866_WF866_walkforward_forward_2012-2019_20260620_012138_case0106","2012-2019","55431.88","1.17","39.65","250","9.733188","candidate","Task 4 forward walk-forward"
"train","107","v8.66","v866 risk055","v866_WF866_walkforward_forward_2012-2019_20260620_012138_case0107","2012-2019","57221.99","1.15","42.60","250","8.432199","candidate","Task 4 forward walk-forward"
"train","108","v8.66","v866 peak20","v866_WF866_walkforward_forward_2012-2019_20260620_012138_case0108","2012-2019","54826.36","1.17","39.31","250","9.80863599999999","candidate","Task 4 forward walk-forward"
"train","109","v8.66","v866 struct off","v866_WF866_walkforward_forward_2012-2019_20260620_012138_case0109","2012-2019","55123.03","1.17","39.74","250","9.666303","candidate","Task 4 forward walk-forward"
"train","110","v8.66","v866 score60","v866_WF866_walkforward_forward_2012-2019_20260620_012138_case0110","2012-2019","55879.24","1.17","39.73","250","9.745924","candidate","Task 4 forward walk-forward"
"train","111","v8.66","v866 score70","v866_WF866_walkforward_forward_2012-2019_20260620_012138_case0111","2012-2019","55870.07","1.17","39.74","250","9.741007","candidate","Task 4 forward walk-forward"
"train","112","v8.66","v866 score75","v866_WF866_walkforward_forward_2012-2019_20260620_012138_case0112","2012-2019","55997.32","1.17","39.72","250","9.761732","candidate","Task 4 forward walk-forward"
"train","113","v8.66","v866 score80","v866_WF866_walkforward_forward_2012-2019_20260620_012138_case0113","2012-2019","55826.12","1.17","39.72","250","9.744612","candidate","Task 4 forward walk-forward"
"train","114","v8.66","v866 score85","v866_WF866_walkforward_forward_2012-2019_20260620_012138_case0114","2012-2019","55442.08","1.17","39.45","250","9.814208","candidate","Task 4 forward walk-forward"
"train","115","v8.66","v866 neutral","v866_WF866_walkforward_forward_2012-2019_20260620_012138_case0115","2012-2019","55123.03","1.17","39.74","250","9.666303","candidate","Task 4 forward walk-forward"
"train","116","v8.66","v866 cons struct","v866_WF866_walkforward_forward_2012-2019_20260620_012138_case0116","2012-2019","55360.13","1.17","39.64","250","9.730013","candidate","Task 4 forward walk-forward"
"train","117","v8.66","v866 aggr struct","v866_WF866_walkforward_forward_2012-2019_20260620_012138_case0117","2012-2019","57734.92","1.15","42.67","250","8.455492","candidate","Task 4 forward walk-forward"
"train","118","v8.66","v866 cons risk struct","v866_WF866_walkforward_forward_2012-2019_20260620_012138_case0118","2012-2019","51607.79","1.19","35.34","250","11.374779","candidate","Task 4 forward walk-forward"
"validate","5","v8.6","v86 atr130","v86_WF86_walkforward_forward_2020-2026_20260620_012138_case1005","2020-2026","475720.24","2.07","24.27","221","71.124024","validated","Task 4 forward walk-forward"
"sens1","5","v8.6","v86 atr130","v86_WF86_walkforward_forward_2020-2026_20260620_012138_case2005","2020-2026","429768.95","2.06","23.65","221","66.626895","sensitivity","Task 4 forward walk-forward"
"sens2","5","v8.6","v86 atr130","v86_WF86_walkforward_forward_2020-2026_20260620_012138_case4005","2020-2026","523177.47","2.08","24.90","221","75.767747","sensitivity","Task 4 forward walk-forward"
"validate","10","v8.6","v86 risk045 atr135","v86_WF86_walkforward_forward_2020-2026_20260620_012138_case1010","2020-2026","378339.76","2.05","22.68","215","61.661976","validated","Task 4 forward walk-forward"
"sens1","10","v8.6","v86 risk045 atr135","v86_WF86_walkforward_forward_2020-2026_20260620_012138_case2010","2020-2026","445583.72","2.07","23.74","215","68.262372","sensitivity","Task 4 forward walk-forward"
"sens2","10","v8.6","v86 risk045 atr135","v86_WF86_walkforward_forward_2020-2026_20260620_012138_case4010","2020-2026","540536.06","2.08","24.99","215","77.407606","sensitivity","Task 4 forward walk-forward"
"validate","6","v8.6","v86 atr135","v86_WF86_walkforward_forward_2020-2026_20260620_012138_case1006","2020-2026","489512.30","2.07","24.36","215","72.40723","validated","Task 4 forward walk-forward"
"sens1","6","v8.6","v86 atr135","v86_WF86_walkforward_forward_2020-2026_20260620_012138_case2006","2020-2026","445583.72","2.07","23.74","215","68.262372","sensitivity","Task 4 forward walk-forward"
"sens2","6","v8.6","v86 atr135","v86_WF86_walkforward_forward_2020-2026_20260620_012138_case4006","2020-2026","540536.06","2.08","24.99","215","77.407606","sensitivity","Task 4 forward walk-forward"
"validate","118","v8.66","v866 cons risk struct","v866_WF866_walkforward_forward_2020-2026_20260620_012138_case1118","2020-2026","372842.80","2.23","21.68","203","64.09228","validated","Task 4 forward walk-forward"
"sens1","118","v8.66","v866 cons risk struct","v866_WF866_walkforward_forward_2020-2026_20260620_012138_case2118","2020-2026","369990.31","2.23","21.70","203","63.799031","sensitivity","Task 4 forward walk-forward"
"sens2","118","v8.66","v866 cons risk struct","v866_WF866_walkforward_forward_2020-2026_20260620_012138_case4118","2020-2026","372842.80","2.23","21.68","203","64.09228","sensitivity","Task 4 forward walk-forward"
"validate","104","v8.66","v866 risk043","v866_WF866_walkforward_forward_2020-2026_20260620_012138_case1104","2020-2026","371235.57","2.23","21.73","203","63.911557","validated","Task 4 forward walk-forward"
"sens1","104","v8.66","v866 risk043","v866_WF866_walkforward_forward_2020-2026_20260620_012138_case2104","2020-2026","371235.57","2.23","21.73","203","63.911557","sensitivity","Task 4 forward walk-forward"
"sens2","104","v8.66","v866 risk043","v866_WF866_walkforward_forward_2020-2026_20260620_012138_case4104","2020-2026","372600.76","2.23","21.70","203","64.060076","sensitivity","Task 4 forward walk-forward"
"validate","105","v8.66","v866 risk045","v866_WF866_walkforward_forward_2020-2026_20260620_012138_case1105","2020-2026","414756.04","2.24","22.40","203","68.145604","validated","Task 4 forward walk-forward"
"sens1","105","v8.66","v866 risk045","v866_WF866_walkforward_forward_2020-2026_20260620_012138_case2105","2020-2026","414756.04","2.24","22.40","203","68.145604","sensitivity","Task 4 forward walk-forward"
"sens2","105","v8.66","v866 risk045","v866_WF866_walkforward_forward_2020-2026_20260620_012138_case4105","2020-2026","418783.52","2.24","22.41","203","68.544352","sensitivity","Task 4 forward walk-forward"
