"phase","candidate_case","version","set_role","run_id","window","net_profit","profit_factor","max_equity_dd_pct","total_trades","score","decision","notes"
"sens2","4","v8.6","v86 risk060","v86_WF86_walkforward_reverse_2012-2019_20260620_012138_case4004","2012-2019","56761.52","1.16","40.94","250","9.200152","sensitivity","Task 3 reverse walk-forward"
"validate","8","v8.6","v86 atr145","v86_WF86_walkforward_reverse_2012-2019_20260620_012138_case1008","2012-2019","55636.23","1.16","61.26","253","0.989622999999997","validated","Task 3 reverse walk-forward"
"sens1","8","v8.6","v86 atr145","v86_WF86_walkforward_reverse_2012-2019_20260620_012138_case2008","2012-2019","54183.31","1.17","59.71","253","1.614331","sensitivity","Task 3 reverse walk-forward"
"sens2","8","v8.6","v86 atr145","v86_WF86_walkforward_reverse_2012-2019_20260620_012138_case4008","2012-2019","55743.89","1.16","62.75","253","0.404388999999997","sensitivity","Task 3 reverse walk-forward"
"validate","11","v8.6","v86 risk055 atr135","v86_WF86_walkforward_reverse_2012-2019_20260620_012138_case1011","2012-2019","145517.32","1.20","42.79","255","17.985732","validated","Task 3 reverse walk-forward"
"sens1","11","v8.6","v86 risk055 atr135","v86_WF86_walkforward_reverse_2012-2019_20260620_012138_case2011","2012-2019","128680.48","1.22","38.64","255","18.262048","sensitivity","Task 3 reverse walk-forward"
"sens2","11","v8.6","v86 risk055 atr135","v86_WF86_walkforward_reverse_2012-2019_20260620_012138_case4011","2012-2019","138458.26","1.21","41.05","255","18.125826","sensitivity","Task 3 reverse walk-forward"
"validate","117","v8.66","v866 aggr struct","v866_WF866_walkforward_reverse_2012-2019_20260620_012138_case1117","2012-2019","57734.92","1.15","42.67","250","8.455492","validated","Task 3 reverse walk-forward"
"sens1","117","v8.66","v866 aggr struct","v866_WF866_walkforward_reverse_2012-2019_20260620_012138_case2117","2012-2019","57307.97","1.15","42.58","250","8.448797","sensitivity","Task 3 reverse walk-forward"
"sens2","117","v8.66","v866 aggr struct","v866_WF866_walkforward_reverse_2012-2019_20260620_012138_case4117","2012-2019","57734.92","1.15","42.67","250","8.455492","sensitivity","Task 3 reverse walk-forward"
"validate","107","v8.66","v866 risk055","v866_WF866_walkforward_reverse_2012-2019_20260620_012138_case1107","2012-2019","57221.99","1.15","42.60","250","8.432199","validated","Task 3 reverse walk-forward"
"sens1","107","v8.66","v866 risk055","v866_WF866_walkforward_reverse_2012-2019_20260620_012138_case2107","2012-2019","57221.99","1.15","42.60","250","8.432199","sensitivity","Task 3 reverse walk-forward"
"sens2","107","v8.66","v866 risk055","v866_WF866_walkforward_reverse_2012-2019_20260620_012138_case4107","2012-2019","57790.63","1.15","42.68","250","8.457063","sensitivity","Task 3 reverse walk-forward"
"validate","115","v8.66","v866 neutral","v866_WF866_walkforward_reverse_2012-2019_20260620_012138_case1115","2012-2019","55123.03","1.17","39.74","250","9.666303","validated","Task 3 reverse walk-forward"
"sens1","115","v8.66","v866 neutral","v866_WF866_walkforward_reverse_2012-2019_20260620_012138_case2115","2012-2019","55422.72","1.17","39.66","250","9.728272","sensitivity","Task 3 reverse walk-forward"
"sens2","115","v8.66","v866 neutral","v866_WF866_walkforward_reverse_2012-2019_20260620_012138_case4115","2012-2019","55123.03","1.17","39.74","250","9.666303","sensitivity","Task 3 reverse walk-forward"
