2024.05.15 10:02 | 平仓: 买入 | 订单: 171 | 盈亏: 2.54 | 原因: 应急仓位盈利目标平仓
2024.05.15 10:02 | 平仓: 买入 | 订单: 170 | 盈亏: 2.54 | 原因: 应急仓位盈利目标平仓
2024.05.15 15:30 | 平仓: 买入 | 订单: 178 | 盈亏: 2.76 | 原因: 应急仓位盈利目标平仓
2024.05.15 15:30 | 平仓: 买入 | 订单: 177 | 盈亏: 3.12 | 原因: 应急仓位盈利目标平仓
2024.05.15 15:30 | 平仓: 买入 | 订单: 180 | 盈亏: 3.22 | 原因: 应急仓位盈利目标平仓
2024.05.15 15:30 | 平仓: 买入 | 订单: 181 | 盈亏: 3.40 | 原因: 应急仓位盈利目标平仓
2024.05.15 16:45 | 平仓: 买入 | 订单: 187 | 盈亏: 2.84 | 原因: 应急仓位盈利目标平仓
2024.05.15 16:45 | 平仓: 买入 | 订单: 186 | 盈亏: 3.24 | 原因: 应急仓位盈利目标平仓
2024.05.15 17:05 | 平仓: 买入 | 订单: 189 | 盈亏: 2.78 | 原因: 应急仓位盈利目标平仓
2024.05.15 17:05 | 平仓: 买入 | 订单: 188 | 盈亏: 2.66 | 原因: 应急仓位盈利目标平仓
2024.05.15 20:10 | 平仓: 卖出 | 订单: 82 | 盈亏: -100.22 | 原因: 扛单极限平仓 - 亏损10022.0点
2024.05.15 20:10 | 平仓: 卖出 | 订单: 79 | 盈亏: -100.31 | 原因: 扛单极限平仓 - 亏损10031.0点
2024.05.16 08:31 | 平仓: 买入 | 订单: 201 | 盈亏: 2.78 | 原因: 应急仓位盈利目标平仓
2024.05.16 08:31 | 平仓: 买入 | 订单: 200 | 盈亏: 2.56 | 原因: 应急仓位盈利目标平仓
2024.05.17 15:48 | 平仓: 买入 | 订单: 203 | 盈亏: 2.57 | 原因: 应急仓位盈利目标平仓
2024.05.17 15:48 | 平仓: 买入 | 订单: 202 | 盈亏: 2.73 | 原因: 应急仓位盈利目标平仓
2024.05.17 19:02 | 平仓: 买入 | 订单: 235 | 盈亏: 2.68 | 原因: 应急仓位盈利目标平仓
2024.05.17 19:02 | 平仓: 买入 | 订单: 234 | 盈亏: 2.86 | 原因: 应急仓位盈利目标平仓
2024.05.20 14:17 | 平仓: 买入 | 订单: 255 | 盈亏: 2.60 | 原因: 应急仓位盈利目标平仓
2024.05.20 14:17 | 平仓: 买入 | 订单: 254 | 盈亏: 2.52 | 原因: 应急仓位盈利目标平仓
2024.05.21 04:02 | 平仓: 买入 | 订单: 269 | 盈亏: 2.78 | 原因: 应急仓位盈利目标平仓
2024.05.21 04:03 | 平仓: 买入 | 订单: 270 | 盈亏: 3.00 | 原因: 应急仓位盈利目标平仓
2024.05.21 05:02 | 平仓: 买入 | 订单: 272 | 盈亏: 2.66 | 原因: 应急仓位盈利目标平仓
2024.05.21 05:02 | 平仓: 买入 | 订单: 271 | 盈亏: 2.56 | 原因: 应急仓位盈利目标平仓
2024.05.21 12:48 | 平仓: 买入 | 订单: 277 | 盈亏: 2.52 | 原因: 应急仓位盈利目标平仓
2024.05.21 12:48 | 平仓: 买入 | 订单: 276 | 盈亏: 2.66 | 原因: 应急仓位盈利目标平仓
2024.05.21 13:14 | 平仓: 买入 | 订单: 279 | 盈亏: 2.58 | 原因: 应急仓位盈利目标平仓
2024.05.21 13:14 | 平仓: 买入 | 订单: 278 | 盈亏: 2.54 | 原因: 应急仓位盈利目标平仓
2024.05.21 18:31 | 平仓: 买入 | 订单: 281 | 盈亏: 2.86 | 原因: 应急仓位盈利目标平仓
2024.05.21 18:31 | 平仓: 买入 | 订单: 280 | 盈亏: 2.92 | 原因: 应急仓位盈利目标平仓
2024.05.22 14:38 | 平仓: 买入 | 订单: 283 | 盈亏: -40.67 | 原因: 应急仓位止损平仓
2024.05.22 14:38 | 平仓: 买入 | 订单: 282 | 盈亏: -40.61 | 原因: 应急仓位止损平仓
2024.05.22 17:11 | 平仓: 买入 | 订单: 268 | 盈亏: -40.01 | 原因: 智能加仓止损平仓
2024.05.23 04:11 | 平仓: 卖出 | 订单: 294 | 盈亏: 2.67 | 原因: 智能加仓盈利目标平仓
2024.05.23 04:26 | 平仓: 卖出 | 订单: 224 | 盈亏: 3.11 | 原因: 250点盈利平仓
2024.05.23 04:27 | 平仓: 卖出 | 订单: 229 | 盈亏: 2.60 | 原因: 250点盈利平仓
