Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,EMA12,EMA26,EMA_MA5,EMA_MA20,EMA_MA60,EMA_MA250,ADX,Plus_DI,Minus_DI,BB_Mid,BB_Upper,BB_Lower,BB_Width,RSI,OBV,OBV_MA20,Volume_MA20,Volume_Ratio,MACD,MACD_Signal,MACD_Hist,Year,Month,Daily_Return,Weekly_Return,Monthly_Return,Volatility_30d
2024-04-29 00:00:00+00:00,63106.36328125,64174.87890625,61795.45703125,63841.12109375,26635912073,0.0,0.0,63841.12109375,63841.12109375,,,,,,0.0,0.0,,,,,,0.0,,,,0.0,0.0,0.0,2024,4,,,,
2024-04-30 00:00:00+00:00,63839.41796875,64703.33203125,59120.06640625,60636.85546875,37840840057,0.0,0.0,63348.15715144231,63603.76808449074,,,,,100.0,0.0,7.326675817968957,,,,,0.0,-37840840057.0,,,,-255.61093304842507,-51.122186609685016,-204.48874643874007,2024,4,-0.050191249309274655,,,
2024-05-01 00:00:00+00:00,60609.49609375,60780.5,56555.29296875,58254.01171875,48439780271,0.0,0.0,62564.442469489644,63207.48983517661,,,,,100.0,0.0,13.240778034535449,,,,,0.0,-86280620328.0,,,,-643.0473656869653,-169.5072224251411,-473.54014326182426,2024,5,-0.03929695449375714,,,
2024-05-02 00:00:00+00:00,58253.703125,59602.296875,56937.203125,59123.43359375,32711813559,0.0,0.0,62035.05648860662,62904.96715062649,,,,,100.0,0.0,12.313954039321516,,,,,14.874818683777235,-53568806769.0,,,,-869.9106620198727,-309.58791034408745,-560.3227516757852,2024,5,0.014924669552331737,,,
2024-05-03 00:00:00+00:00,59122.30078125,63320.50390625,58848.3125,62889.8359375,33172023048,0.0,0.0,62166.561019205605,62903.84632002453,60949.0515625,,,,93.41935433569799,9.33598018238056,10.931202137749075,,,,,49.74772959953125,-20396783721.0,,,,-737.2853008189268,-395.1273884390554,-342.1579123798714,2024,5,0.06370405294167747,,,
2024-05-04 00:00:00+00:00,62891.03125,64494.95703125,62599.3515625,63891.47265625,20620477992,0.0,0.0,62431.932040289365,62977.0038264116,60959.121875,,,,87.22811729867315,11.901680637686846,10.398213769521561,,,,,55.02456700323753,223694271.0,,,,-545.0717861222365,-425.1162679756916,-119.95551814654493,2024,5,0.015926845790239064,,,
2024-05-05 00:00:00+00:00,63892.453125,64610.890625,62955.3046875,64031.1328125,18296164805,0.0,0.0,62677.962928321766,63055.08745501074,61637.97734375,,,,81.57367883508365,11.686857222697498,9.942257419230677,,,,,55.72271259634808,18519859076.0,,,,-377.1245266889746,-415.51791971834825,38.39339302937367,2024,5,0.002185896653241981,,,
2024-05-06 00:00:00+00:00,64038.3125,65494.90234375,62746.23828125,63161.94921875,28697928697,0.0,0.0,62752.422357618416,63063.003141213645,62619.56484375,,,,77.00873686823816,13.175379961576445,9.219447596158965,,,,,50.47170875348464,-10178069621.0,,,,-310.58078359522915,-394.53049249372447,83.94970889849532,2024,5,-0.013574390387488533,-0.010638470367753117,,
2024-05-07 00:00:00+00:00,63162.76171875,64390.45703125,62285.98046875,62334.81640625,25930730982,0.0,0.0,62688.175288177124,63009.06338306819,63261.84140625,,,,72.30506288415047,12.430259725449968,9.934910359549908,,,,,46.026739977944594,-36108800603.0,,,,-320.88809489106643,-379.80201297319286,58.91391808212643,2024,5,-0.01309542885757653,0.028002127161344426,,
2024-05-08 00:00:00+00:00,62332.640625,62986.0859375,60877.12890625,61187.94140625,26088172222,0.0,0.0,62457.37007557295,62874.16545885943,62921.4625,,,,67.56773637610125,11.715232710082498,13.20615253149398,,,,,40.67740858328345,-62196972825.0,,,,-416.7953832864805,-387.2006870358504,-29.59469625063008,2024,5,-0.018398626419713127,0.05036442299742361,,
2024-05-09 00:00:00+00:00,61191.19921875,63404.9140625,60648.07421875,63049.9609375,25453338161,0.0,0.0,62548.53790048481,62887.187346166145,62753.16015625,,,,62.812665548615655,11.975710127580093,12.216848192518585,,,,,50.69633758080379,-36743634664.0,,,,-338.64944568133797,-377.49043876494795,38.84099308360999,2024,5,0.03043115176709965,0.06641236993659771,,
2024-05-10 00:00:00+00:00,63055.19140625,63446.7421875,60208.78125,60792.77734375,27804954694,0.0,0.0,62278.420891756374,62732.045864505686,62105.4890625,,,,58.75405152575706,10.939177394249615,12.333704594505091,,,,,41.53804397312842,-64548589358.0,,,,-453.6249727493123,-392.7173455618208,-60.90762718749147,2024,5,-0.035799920573900024,-0.03334495252673353,,
2024-05-11 00:00:00+00:00,60793.35546875,61451.15234375,60492.625,60793.7109375,13842272968,0.0,0.0,62050.00397571693,62588.4654995423,61631.84140625,,,,54.98533850453123,10.64543755847988,12.002518781216537,,,,,41.542747808438264,-50706316390.0,,,,-538.4615238253682,-421.8661812145303,-116.59534261083792,2024,5,1.5356984674586016e-05,-0.0484847443635652,,
2024-05-12 00:00:00+00:00,60793.50390625,61818.15625,60632.6015625,61448.39453125,13800459405,0.0,0.0,61957.448676568165,62504.015798187305,61454.55703125,,,,51.13294796031896,11.346806302426591,11.588051393171053,,,,,44.89130047433914,-36905856985.0,,,,-546.5671216191404,-446.8063692954523,-99.76075232368805,2024,5,0.010768936188532141,-0.04033566435272884,,
2024-05-13 00:00:00+00:00,61451.21875,63422.66015625,60769.83984375,62901.44921875,27889181179,0.0,0.0,62102.67952921153,62533.45531082158,61797.25859375,,,,48.70437334463824,15.121452502001562,10.697855430641216,,,,,51.52790196029941,-9016675806.0,,,,-430.7757816100493,-443.60025175837177,12.824470148322462,2024,5,0.023646747788683697,-0.0041243185687288575,,
2024-05-14 00:00:00+00:00,62900.7734375,63092.125,61123.765625,61552.7890625,28186271527,0.0,0.0,62018.08099587129,62460.81336650146,61497.82421875,,,,46.44926834436329,14.246917190758587,10.079154791438084,,,,,45.9917185887973,-37202947333.0,,,,-442.7323706301686,-443.42667553273117,0.6943049025625783,2024,5,-0.02144084393922019,-0.012545594722752518,,
2024-05-15 00:00:00+00:00,61553.98828125,66454.453125,61330.41015625,66267.4921875,39815167074,0.0,0.0,62671.83656381417,62742.78957546432,62592.7671875,,,,46.156280145975586,21.41403529514888,8.672963477581987,,,,,61.5459001430782,2612219741.0,,,,-70.95301165014826,-368.9319427562146,297.97893110606634,2024,5,0.07659609250545496,0.08301555281170403,,
