"object_id","version","set_role","period_count","completed_count","total_net_profit","profitable_period_count","profitable_period_ratio","worst_period","best_period","worst_period_profit","best_period_profit","max_single_period_profit_share","max_consecutive_losing_periods","max_consecutive_losing_period_loss","pf_avg","pf_min","max_equity_dd_pct_max","stability_rating","decision","notes"
"B","v8.66","v8.66 robust case0010","144","144","84730.36","66","45.83","201903","201304","-4540.94","19779.39","23.34","7","-10225.9","1.85","0","33.82","watch","watch","production readiness monthly_core summary"
"C","v8.66","v8.66 aggressive case0005","144","144","92960.06","66","45.83","201903","201304","-4957.81","21756.71","23.4","7","-11224.94","1.84","0","35.93","watch","watch","production readiness monthly_core summary"
